gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
1997-06-21,Regular,1997,0,0,HOU,Away,Win,0,76.0,14.0,22.0,200.0,14.0,6.0,20.0,54.0,30.0,0.56,43.0,27.0,18.94,11.0,3.0,0.27,15.0,13.0,0.87,6.0,21.0,27.0,51.92,0.47,0.66,0.58,33.33,61.76,26.63,25.93,11.11,11.32,1.41,53.62,53.62,140.77,103.72,37.05,0.43,16.79,53.99,0.64,64.79,0.64,0,0,CLE,Home,Loss,0,56.0,13.0,25.0,200.0,8.0,7.0,20.0,60.0,23.0,0.38,53.0,21.0,15.97,7.0,2.0,0.29,14.0,8.0,0.57,13.0,12.0,25.0,48.08,0.57,0.44,0.40,38.24,66.67,27.42,11.43,10.00,16.28,0.93,20.75,20.75,79.99,108.56,-28.57,0.32,14.16,0.52,0.32,70.01,84.01,HOU
1997-06-21,Regular,1997,0,0,NYL,Away,Win,0,67.0,21.0,19.0,200.0,14.0,5.0,24.0,60.0,26.0,0.43,54.0,24.0,19.97,6.0,2.0,0.33,25.0,13.0,0.52,10.0,26.0,36.0,48.00,0.81,0.51,0.45,27.78,66.67,21.11,23.34,8.33,8.77,1.12,51.12,51.12,111.69,95.02,16.67,0.38,23.60,59.99,1.11,71.99,0.74,0,0,LAS,Home,Loss,0,57.0,15.0,25.0,200.0,9.0,3.0,22.0,68.0,21.0,0.31,57.0,20.0,9.99,11.0,1.0,0.09,19.0,14.0,0.74,13.0,26.0,39.0,52.00,0.71,0.39,0.32,33.33,72.22,24.66,10.73,3.58,5.56,0.84,22.38,22.38,67.99,79.91,-11.92,0.26,15.05,0.60,0.36,83.84,100.61,NYL
1997-06-21,Regular,1997,0,0,SAC,Away,Win,0,71.0,10.0,21.0,200.0,12.0,3.0,24.0,62.0,22.0,0.35,51.0,19.0,10.95,11.0,3.0,0.27,32.0,22.0,0.69,18.0,21.0,39.0,52.70,0.45,0.51,0.38,48.65,56.76,21.63,19.36,4.84,5.45,1.15,38.25,38.25,114.53,98.40,16.13,0.34,12.67,61.99,0.48,74.39,0.57,0,0,UTA,Home,Loss,0,61.0,11.0,21.0,200.0,7.0,5.0,28.0,67.0,23.0,0.34,55.0,21.0,10.97,12.0,2.0,0.17,17.0,13.0,0.76,16.0,19.0,35.0,47.30,0.48,0.43,0.36,43.24,51.35,21.99,9.55,6.82,9.80,0.91,22.62,22.62,83.24,96.89,-13.65,0.32,12.02,0.52,0.33,73.28,87.94,SAC
1997-06-22,Regular,1997,0,0,CHA,Away,Loss,0,59.0,14.0,23.0,200.0,12.0,1.0,19.0,65.0,21.0,0.32,51.0,17.0,6.94,14.0,4.0,0.29,15.0,13.0,0.87,9.0,23.0,32.0,42.67,0.67,0.43,0.35,21.43,69.70,24.31,18.46,1.54,2.08,0.91,25.38,25.38,90.77,116.92,-26.15,0.27,14.68,65.00,0.61,78.00,0.52,0,0,PHO,Home,Win,0,76.0,23.0,20.0,200.0,10.0,3.0,16.0,67.0,28.0,0.42,48.0,20.0,8.88,19.0,8.0,0.42,19.0,12.0,0.63,10.0,33.0,43.0,57.33,0.82,0.53,0.48,30.30,78.57,20.97,11.78,3.53,5.88,1.13,61.38,61.38,89.52,69.49,20.03,0.36,22.63,1.15,0.50,84.90,101.88,PHO
1997-06-23,Regular,1997,1,0,NYL,Away,Win,1,73.0,17.0,24.0,200.0,14.0,6.0,15.0,56.0,27.0,0.48,45.0,21.0,15.89,11.0,6.0,0.55,19.0,13.0,0.68,9.0,20.0,29.0,48.33,0.63,0.61,0.54,33.33,60.61,27.16,25.00,10.72,13.33,1.30,53.38,53.38,130.38,110.73,19.65,0.38,19.18,55.99,0.71,67.19,0.58,1,0,SAC,Home,Loss,1,62.0,11.0,25.0,200.0,13.0,2.0,21.0,61.0,21.0,0.34,45.0,15.0,4.90,16.0,6.0,0.38,18.0,14.0,0.78,13.0,18.0,31.0,51.67,0.52,0.48,0.39,39.39,66.67,26.62,17.28,2.66,4.44,1.02,26.50,26.50,82.39,97.01,-14.62,0.29,12.35,0.44,0.52,75.25,90.30,NYL
1997-06-23,Regular,1997,0,1,LAS,Away,Win,1,89.0,19.0,20.0,200.0,2.0,2.0,36.0,70.0,33.0,0.47,54.0,28.0,16.93,16.0,5.0,0.31,24.0,18.0,0.75,7.0,31.0,38.0,50.00,0.58,0.59,0.51,19.44,77.50,19.89,2.86,2.86,3.57,1.27,42.75,42.75,127.14,145.71,-18.57,0.40,19.30,70.00,0.95,84.00,0.10,0,1,UTA,Home,Loss,1,102.0,20.0,8.0,200.0,8.0,7.0,24.0,68.0,28.0,0.41,56.0,24.0,15.94,12.0,4.0,0.33,56.0,42.0,0.75,9.0,29.0,38.0,50.00,0.71,0.63,0.44,22.50,80.56,7.95,9.06,7.93,12.96,1.50,75.75,75.75,115.57,100.84,14.73,0.42,28.03,2.50,1.00,88.26,105.91,LAS
1997-06-24,Regular,1997,1,0,PHO,Away,Loss,1,55.0,12.0,19.0,200.0,11.0,2.0,26.0,53.0,19.0,0.36,43.0,18.0,8.98,10.0,1.0,0.10,26.0,16.0,0.62,8.0,15.0,23.0,37.10,0.63,0.47,0.37,23.53,53.57,22.77,20.76,3.77,4.44,1.04,17.75,17.75,103.79,132.10,-28.31,0.30,16.54,52.99,0.63,63.59,0.58,1,0,HOU,Home,Win,2,70.0,10.0,20.0,200.0,10.0,5.0,27.0,54.0,22.0,0.41,45.0,20.0,12.96,9.0,2.0,0.22,28.0,24.0,0.86,13.0,26.0,39.0,62.90,0.45,0.58,0.43,46.43,76.47,23.17,13.55,6.78,11.63,1.30,43.00,43.00,94.86,74.54,20.32,0.36,13.95,0.50,0.50,73.79,88.55,HOU
1997-06-25,Regular,1997,0,1,CHA,Away,Loss,2,54.0,10.0,21.0,200.0,6.0,3.0,22.0,64.0,22.0,0.34,49.0,18.0,6.94,15.0,4.0,0.27,7.0,6.0,0.86,13.0,22.0,35.0,50.72,0.45,0.41,0.38,32.50,75.86,23.84,9.38,4.69,5.17,0.84,19.88,19.88,84.39,115.64,-31.25,0.31,10.88,63.99,0.48,76.79,0.29,1,1,LAS,Home,Win,1,74.0,20.0,14.0,200.0,16.0,3.0,12.0,62.0,29.0,0.47,58.0,27.0,24.97,4.0,2.0,0.50,27.0,14.0,0.52,7.0,27.0,34.0,49.28,0.69,0.54,0.48,24.14,67.50,15.93,20.12,3.77,6.12,1.19,63.62,63.62,93.05,67.90,25.15,0.42,23.78,1.43,1.14,79.53,95.44,LAS
1997-06-26,Regular,1997,0,2,UTA,Away,Loss,2,63.0,18.0,18.0,200.0,13.0,5.0,22.0,66.0,27.0,0.41,57.0,24.0,17.95,9.0,3.0,0.33,10.0,6.0,0.60,7.0,25.0,32.0,43.84,0.67,0.46,0.43,18.92,69.44,20.36,19.70,7.58,9.43,0.95,42.50,42.50,95.45,112.12,-16.67,0.35,18.44,66.00,1.00,79.20,0.72,0,1,CLE,Home,Win,4,74.0,18.0,19.0,200.0,10.0,4.0,11.0,60.0,25.0,0.42,53.0,23.0,17.97,7.0,2.0,0.29,30.0,22.0,0.73,11.0,30.0,41.0,56.16,0.72,0.56,0.43,30.56,81.08,20.61,12.35,4.94,7.02,1.23,58.75,58.75,91.41,77.83,13.58,0.37,21.48,0.95,0.53,80.95,97.14,CLE
1997-06-26,Regular,1997,2,0,NYL,Away,Win,2,62.0,15.0,28.0,225.0,10.0,4.0,22.0,58.0,23.0,0.40,44.0,20.0,8.95,14.0,3.0,0.21,21.0,13.0,0.62,11.0,21.0,32.0,49.23,0.65,0.50,0.42,34.38,63.64,29.40,17.24,6.90,8.70,1.07,27.38,24.34,106.91,103.47,3.44,0.31,16.35,57.99,0.54,61.86,0.36,2,0,HOU,Home,Loss,1,60.0,12.0,28.0,225.0,15.0,2.0,19.0,60.0,22.0,0.37,46.0,17.0,7.92,14.0,5.0,0.36,17.0,11.0,0.65,12.0,21.0,33.0,50.77,0.55,0.47,0.41,36.36,65.62,29.33,18.75,2.50,4.55,1.00,27.88,24.78,74.99,77.49,-2.50,0.29,12.97,0.43,0.54,80.01,85.34,NYL
